# ref | resourceId | date | start | end | studentId | createdAt
BK-1001 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:35:48
BK-1002 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:42:02
BK-1003 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:42:17
BK-1004 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:42:18
BK-1005 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:42:19
BK-1006 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:42:20
BK-1007 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | 03456789 | 2026-06-04T16:42:20
BK-1008 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S23456 | 2026-07-06T10:37:52
BK-1009 | KA-P1 | 2026-07-17 | 10:00 | 11:00 | S0375421 | 2026-07-15T01:15:11
BK-1010 | KA-P2 | 2026-07-17 | 10:00 | 11:00 | S0375421 | 2026-07-15T01:16:19
BK-1011 | KA-P1 | 2026-07-18 | 10:00 | 11:00 | S0375421 | 2026-07-15T01:20:14
BK-1012 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 2026-07-15T12:16:33
BK-1013 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 2026-07-15T12:37:40
BK-1014 | KA-P2 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 2026-07-15T12:56:16
BK-1015 | SP-B1 | 2026-07-18 | 10:00 | 11:00 | S0375421 | 2026-07-15T12:58:10
BK-1016 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 2026-07-15T13:11:48
BK-1017 | KA-P1 | 2026-07-29 | 10:00 | 11:00 | S0375421 | 2026-07-15T18:38:11
BK-1018 | KA-P1 | 2026-07-24 | 10:00 | 11:00 | S0375421 | 2026-07-15T23:28:54
BK-1019 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 2026-07-16T00:15:17
BK-1020 | KA-P1 | 2026-07-24 | 13:00 | 16:00 | S0375421 | 2026-07-16T01:51:20
BK-1021 | SP-B1 | 2026-11-12 | 12:00 | 13:00 | S0375421 | 2026-07-16T19:36:51
