# bookingRef | resourceId | date | start | end | studentId | status
BK-0900 | D9A.01 | 2026-07-05 | 10:00 | 11:00 | S0375421 | 0
BK-0901 | SP.11 | 2026-07-08 | 14:00 | 15:00 | S0375421 | 1
BK-0902 | LAB.03 | 2026-07-20 | 09:00 | 10:00 | S0375421 | 1
BK-0903 | D9A.02 | 2026-07-25 | 13:00 | 14:00 | S0375421 | 0
BK-0904 | D9A.01 | 2026-07-03 | 09:00 | 10:00 | S0377465 | 0
BK-0905 | SP.11 | 2026-07-11 | 15:00 | 16:00 | S0377465 | 1
BK-0906 | LAB.03 | 2026-07-22 | 10:00 | 11:00 | S0377465 | 1
BK-0907 | SPT.01 | 2026-07-28 | 16:00 | 17:00 | S0377465 | 0
BK-1002 | KA-P1 | 2026-08-31 | 14:00 | 15:00 | S0375421 | 0
BK-1011 | KA-P1 | 2026-07-18 | 10:00 | 11:00 | S0375421 | 1
BK-1012 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 1
BK-1013 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 1
BK-1014 | KA-P2 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 1
BK-1015 | SP-B1 | 2026-07-18 | 10:00 | 11:00 | S0375421 | 1
BK-1016 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 1
BK-1017 | KA-P1 | 2026-07-29 | 10:00 | 11:00 | S0375421 | 1
BK-1018 | KA-P1 | 2026-07-24 | 10:00 | 11:00 | S0375421 | 0
BK-1019 | KA-P1 | 2026-07-23 | 10:00 | 11:00 | S0375421 | 0
